chart,true_label,raw_level,baseline_pred_label,regression_pred_label,regression_pred_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span
10411_master,14,14.5,14+,14,14.1887,837.0,132.4375,6.319962246342614,5.223416942269331,8.999999070059587,0.010752688172043012,0.019115890083632018,0.0,0.0047789725209080045,0.0047789725209080045,0.14217443249701314,0.07287933094384708,0.03225806451612903,0.21296296296296297,0.5316606929510155,6.0
11159_master,13+,13.7,14,13+,13.7263,584.0,133.255813,4.382548024377743,3.4880128615789876,5.999998956612885,0.05650684931506849,0.05650684931506849,0.0,0.0,0.0,0.1421232876712329,0.2191780821917808,0.03424657534246575,0.15881849315068494,0.5941780821917808,7.0
11174_master,14,14.2,14+,14,14.3393,830.0,132.90697600000001,6.244969413795103,4.306023350588256,5.999998956612885,0.04096385542168675,0.02530120481927711,0.0036144578313253013,0.018072289156626505,0.018072289156626505,0.06746987951807229,0.13373493975903614,0.02289156626506024,0.1905120481927711,0.26626506024096386,6.0
11208_master,13+,13.8,14,13+,13.7712,639.0,134.4,4.754464285714286,3.5101716702639543,4.000000437829517,0.03599374021909233,0.06259780907668232,0.0,0.006259780907668232,0.006259780907668232,0.1752738654147105,0.13458528951486698,0.0,0.15512519561815336,0.5524256651017214,5.0
11391_master,14+,14.8,14,14+,14.4595,797.0,131.71726199999998,6.050839410858694,4.734002484231642,8.00000380397483,0.05897114178168131,0.04265997490589712,0.002509410288582183,0.010037641154328732,0.011292346298619825,0.13676286072772897,0.12421580928481807,0.027603513174404015,0.1516624843161857,0.5006273525721455,5.0
11556_master,13+,13.8,14,13+,13.8848,647.0,141.712707,4.565575054606783,4.2519314714757,7.000003666562151,0.0695517774343122,0.04945904173106646,0.00463678516228748,0.02009273570324575,0.02009273570324575,0.14064914992272023,0.15301391035548687,0.03709428129829984,0.16479907264296753,0.46831530139103555,6.0
11637_remaster,13+,13.8,14,13+,13.9516,725.0,140.96774100000002,5.14302062909556,3.801378455306069,4.999997184632331,0.020689655172413793,0.034482758620689655,0.002758620689655172,0.006896551724137931,0.006896551724137931,0.2,0.13379310344827586,0.05103448275862069,0.18155172413793103,0.713103448275862,6.0
11661_expert,13,13.0,13+,13,13.4596,712.0,140.40441700000002,5.0710655349254425,3.9396053076943485,4.999997184632331,0.023876404494382022,0.008426966292134831,0.0,0.0,0.0,0.05898876404494382,0.1699438202247191,0.0028089887640449437,0.16292134831460675,0.2050561797752809,6.0
11752_expert,13,13.5,13+,13,13.4873,678.0,152.64000000000001,4.441823899371069,3.7964590204621915,4.999997184632331,0.05309734513274336,0.0014749262536873156,0.0,0.0014749262536873156,0.0014749262536873156,0.06047197640117994,0.14749262536873156,0.004424778761061947,0.14657079646017698,0.20206489675516223,5.0
11881_master,13+,13.8,14,13+,13.8907,734.0,147.8125,4.965750528541226,3.7193453934052743,5.999998956612885,0.047683923705722074,0.05994550408719346,0.0013623978201634877,0.006811989100817439,0.006811989100817439,0.1566757493188011,0.11307901907356949,0.02997275204359673,0.15735694822888283,0.5517711171662125,5.0
288_master,13+,13.8,14,13+,13.8253,519.0,103.74227300000001,5.002782231308928,3.938342013545576,5.999998956612885,0.0,0.007707129094412331,0.0,0.0,0.0,0.10597302504816955,0.011560693641618497,0.005780346820809248,0.20544315992292872,0.40655105973025046,5.0
380_master,13+,13.7,13,13+,13.6189,700.0,134.416667,5.207687525833386,3.4214277941021534,4.999997184632331,0.0,0.002857142857142857,0.0,0.0,0.0,0.11285714285714285,0.13142857142857142,0.018571428571428572,0.18946428571428572,0.4257142857142857,6.0
427_master,13+,13.9,14,13+,13.874,641.0,125.10989000000001,5.1234958323438695,3.7472691225417463,4.999997184632331,0.0,0.08580343213728549,0.0,0.0,0.0,0.2121684867394696,0.0249609984399376,0.015600624024960999,0.20670826833073322,0.7394695787831513,6.0
592_master,13+,13.9,14,13+,13.9643,498.0,112.45714199999999,4.428353692289281,4.317268086096233,8.00000380397483,0.0,0.03614457831325301,0.0,0.0,0.0,0.1144578313253012,0.10040160642570281,0.01606425702811245,0.20958835341365462,0.41967871485943775,5.0
839_master,13+,13.8,14,13+,13.7437,623.0,144.22222299999999,4.31972262693524,3.0995174387604965,4.999997184632331,0.0,0.09951845906902086,0.0,0.0,0.0,0.26163723916532905,0.07223113964686999,0.024077046548956663,0.17536115569823435,0.8298555377207063,4.0
